"Date","DryBulb","RelHum"
"2016-07-01 18:30:00.0",26.9,61
"2016-07-01 18:35:00.0",28.2,59
"2016-07-01 18:40:00.0",27.9,57
"2016-07-01 18:45:00.0",26.9,60
"2016-07-01 18:50:00.0",28.2,61
"2016-07-01 18:55:00.0",28.9,64
"2016-07-01 19:00:00.0",30,62
"2016-07-01 19:05:00.0",30,66
"2016-07-01 19:10:00.0",29.2,66
"2016-07-01 19:15:00.0",29.8,61
"2016-07-01 19:20:00.0",26.5,69
"2016-07-01 19:25:00.0",29.1,71
"2016-07-01 19:30:00.0",26.9,68
"2016-07-01 19:35:00.0",27.3,69
"2016-07-01 19:40:00.0",26.6,70
"2016-07-01 19:45:00.0",28.5,73
"2016-07-01 19:50:00.0",28.7,74
"2016-07-01 19:55:00.0",26.7,68
"2016-07-01 20:00:00.0",26.6,75
"2016-07-01 20:05:00.0",26.5,72
"2016-07-01 20:10:00.0",29.1,73
"2016-07-01 20:15:00.0",28.6,80
"2016-07-01 20:20:00.0",25.5,78
"2016-07-01 20:25:00.0",26.2,71
"2016-07-01 20:30:00.0",26.6,69
"2016-07-01 20:35:00.0",28.6,72
"2016-07-01 20:40:00.0",28.3,78
"2016-07-01 20:45:00.0",27.8,83
"2016-07-01 20:50:00.0",28.7,84
"2016-07-01 20:55:00.0",27.5,79
"2016-07-01 21:00:00.0",28.4,85
"2016-07-01 21:05:00.0",25.8,86
"2016-07-01 21:10:00.0",26.8,88
"2016-07-01 21:15:00.0",25.6,90
"2016-07-01 21:20:00.0",25.7,89
"2016-07-01 21:25:00.0",26.1,88
"2016-07-01 21:30:00.0",27.5,89
"2016-07-01 21:35:00.0",24.9,88
"2016-07-01 21:40:00.0",25.3,83
"2016-07-01 21:45:00.0",25.4,90
"2016-07-01 21:50:00.0",25.2,76
"2016-07-01 21:55:00.0",27.2,80
"2016-07-01 22:00:00.0",23.8,75
"2016-07-01 22:05:00.0",23.8,77
"2016-07-01 22:10:00.0",24.9,77
"2016-07-01 22:15:00.0",26.2,85
"2016-07-01 22:20:00.0",25.3,86
"2016-07-01 22:25:00.0",23.8,88
"2016-07-01 22:30:00.0",25.4,79
